Rank,Fan,Hand,Starting Hand,Fan Types,Win Type,Player,Player ID,Record
123,103,"[CCC,3]55666sFFPPPF|SE0000","349p1556667sCFFP|SE0000","大三元","ron","欧宸羽","4bXqcFrv","DyvV6xGu"
124,103,"[FFF,3][CCC,2]88pSSSPPP|WE0000","16m5889p5sSSSFFPP|WE0000","大三元","ron","我是好人","gtH1uzUf","5E1ANgr4"
125,103,"[PPP,2][999s,3]999mCFFFC|SS0000","79m8p4799sENFFPP|SS0000","小三元、混幺九","ron","桀桀子","bcft20BF","o9dWcWWX"
126,103,"[PPPP,2][CCC,3][FFF,3]4477p4p|SE0000","568m447p26sSCFPPP|SE0000","大三元","ron","sugawara","BUaxt8Nj","aufZ8qKb"
127,102,"[999m,2][CCC,1][FFFF,7]999sPP|EW0000","299m368p99sCCFFP|EW0000","小三元、混幺九","ron","gbnewbie","nLF0Hcz4","PyaK3RwG"
128,102,"[CCC,1][PPP,3]1178mFFF9m|SS1000","11257m9p556sCCFP|SS0000","大三元","tsumo","CHAGA04","CfQFk9C9","Qv0huSa0"
129,102,"[CCC,2][PPP,2]999pSSFFS|NN0000","2999p2sSSCCFFPP|NN0000","小三元、混幺九","ron","Weldon","g2wZw0dx","wrhTi0xT"
130,102,"[FFF,1][CCC,1][888m,1]77mPPP|EW1000","35778m36pSNCFPP|EW0000","大三元","tsumo","笹葉更紗","h84df3s7","V5nKHBkj"
131,102,"[FFF,2][PPP,3][CCC,1]22pEE2p|SN0000","7m2357p1sEECFFPP|SN0000","大三元","ron","傻哥哥","BT5iwHMr","GpXWtFHM"
132,102,"[FFF,2][SSS,1]33mCCPPPC|SE0000","3389m7p26sSSCFPPP|SE0000","大三元","ron","lingtong","tQQHQKkQ","hPpku775"
133,102,"[FFF,3][WWW,2][CCC,3]22mPPP|ES0000","3m1p2588sEWWCCFP|ES0000","大三元","ron","浮生小朋友","RrPD5g0E","GuVtG62A"
134,101,"[111p,3][FFF,3][999s,3][PPP,2]CC|NE1000","134m1138p38899sFF|NE0000","小三元、混幺九","tsumo","Duke","veDVLj6P","SQfUcbsX"
135,101,"[CCC,2][PPPP,5]7788pFFF7p|SS0000","5m2377p5578sCCPP|SS0000","大三元","ron","GBAWA","6GL3KkZB","WPWvSTKB"
136,101,"[CCC,3][111p,1][FFF,3]22pPPP|NN0000","4679m112p578sWCF|NN0000","大三元","ron","休息1下玩1会","Uenn5pAV","h86ETqcV"
137,101,"[FFF,1][111s,3]77pCCCPPP|SS1000","1m679p11sSCCFFPP|SS0000","大三元","tsumo","lusika","mskbTdYM","do5u19qM"
138,101,"[FFF,2][CCC,1]66677sPPP|NE0000","138m6p667sESCCFFP|NE0000","大三元","ron","暮春","J0UEhXjy","NwZ3tFrW"
139,101,"[PPP,3]33m111sCCCFFF|ES0000","8m2269p1458sWNCP|ES0000","大三元","ron","吉吉吉利蛋","EYFfx44W","JgCesjH7"
140,101,"[SSS,3][FFF,3][PPP,3]33sCCC|EN0000","8m3p3448sESSWCFF|EN0000","大三元","ron","wxkj99","dKux6PAL","Dyvere9P"
141,100,"19m199p19sESWCFPN|EW1110","19m49p167sESSFPP|EW0000","十三幺","tsumo","一只柠檬","Zi68HmQ5","KcXpnrcU"
142,100,"[2222p,6][EEEE,7][7777p,6][9999s,5]NN|NS0000","59m228p299sEEENP|NS0000","四杠","ron","徐北to","SCJkv06C","MZuR3hdm"
143,100,"[2222p,7]1113344488p3p|EW1000","127m1223388p159s|EW0000","一色四节高、清一色","tsumo","圣文神武","00gJBpGq","NA5uh0w6"
144,100,"[555m,1][FFF,1][CCC,3]44mPPP|WE0000","44559m39p377sCFPP|WE0000","大三元","ron","Kiwi","87EBa1sG","fbGvLDTe"
145,100,"[999m,3][999s,3][PPP,3]CCFFF|WE0000","3899m18p4599sWCPP|WE0000","小三元、混幺九","ron","Chaojisamoye","Xzs5c5KM","m5qBpzEQ"
146,100,"[999p,3][CCC,3][1111m,1]FFPPP|WN0000","19m189p26sESCCFP|WN0000","小三元、混幺九","ron","弧龍星","ugDkaQ0C","LbeHgHWZ"
147,100,"[CCC,3]123mNNFFPPPF|NE0000","1299m79p159sNCCFP|NE0000","大三元","ron","余歌","PPEnGmrM","w3LA8dkw"
148,100,"[FFF,3][PPP,2]99p999sCC9p|SN0000","139m49p1699sCFFP|SN0000","小三元、混幺九","ron","欧偷袭圣手","bbCA4xwh","jhNgzSxi"
149,100,"[FFFF,5][111s,1]99mCCPPP9m|WW0000","199m6p1135sCFPPP|WW0000","小三元、混幺九","ron","秋季","MNTaFGdQ","HkxhDB9h"
150,100,"[FFFF,5][111s,1]99mCCPPP9m|WW0000","199m6p1135sCFPPP|WW0000","小三元、混幺九","ron","秋季","MNTaFGdQ","HkxhDB9h"
151,100,"[FFFF,7]88p111sCCCPP8p|NN1000","67m88p112sSCFFPP|NN0000","小三元","tsumo","浮生小朋友","RrPD5g0E","Xz1qRieU"
152,100,"[WWW,1][SSS,3][NNN,1][CCC,1]PP|NS0010","7m2235p1129sSWCC|NS0000","字一色","ron","天使的精灵","HJykMmh1","0ccXPXsz"
153,99,"19m19p119sESWCFPN|WW0010","145m19p1449sSWFP|WW0000","十三幺","ron","山前没相见","HVLmhG3X","XkfcVyPf"
154,99,"34577pCCCFFPPPF|SS0000","146m2477p2sWCCCP|SS0000","大三元","ron","一只柠檬","Zi68HmQ5","m2Qj5sgQ"
155,99,"44567mCCCFFPPPF|SN0000","1244677m45sCCCP|SN0000","大三元","ron","爱の火车票","fPQrrqem","jfrufT6q"
156,99,"[1111s,6][9999p,7][9999m,7]1m111p1m|WW0000","5m11199p1156sSWN|WW0000","三杠、清幺九","ron","多来雀庄","8pBN9EaN","o4QdE1XY"
157,99,"[6666s,5][888s,2][444s,3]2sFFF2s|ES0000","6m4559p146688sEF|ES0000","绿一色","ron","欧宸羽","4bXqcFrv","bZGwbEe4"
158,99,"[888s,3][444s,2]22666sFFF|SE0000","57m1122446889sWF|SE0000","绿一色","ron","赤木茂","e609HWnY","aW3Q69nk"
159,99,"[999s,3][111p,2][CCC,1]FPPPF|NN0000","24m1189p4799sCFP|NN0000","小三元、混幺九","ron","诈和天地人和","AzuK3pft","ZPK83PeZ"
