======================================
Ranking by: stats.total_rounds
Generated at: 2026-01-07 09:16:24
Total players: 1232
======================================

Rank  	Value       	Player Name
496   	80          	Virophage
497   	80          	WE1RC
498   	80          	lalulu
499   	80          	leverid
500   	80          	pedro
501   	80          	qixian96
502   	80          	summer
503   	80          	zdd
504   	80          	二狗狗不狗
505   	80          	二阶堂真红
506   	80          	六百六十六
507   	80          	农园蒸粥
508   	80          	南桥s01
509   	80          	去去
510   	80          	多来雀庄
511   	80          	孤山战士
512   	80          	小柒zZ
513   	80          	平和達人
514   	80          	德之邻
515   	80          	我爱看评论
516   	80          	樱小路
517   	80          	洛兰希尔坠星
518   	80          	浅葱狐冢
519   	80          	狗勾战士夕夕
520   	80          	留下的静悄悄
521   	80          	番
522   	80          	神奇的飞菊
523   	80          	竹井久
524   	80          	笨笨
525   	80          	自然醒
526   	80          	芜芯
527   	80          	萌新大土松
528   	80          	衔蝉幽客
529   	80          	足立レイ
530   	80          	辕
531   	80          	阿德南
532   	80          	阿牛
533   	80          	魔法少女寻笺
534   	80          	鲤鱼号
535   	84          	叶三夕夕夕
536   	84          	慕容彰
537   	84          	拓
538   	88          	ofor
539   	94          	冰雪羊之角
540   	96          	AbbyKo
541   	96          	CatHikari
542   	96          	Inf
543   	96          	K酱
544   	96          	Lyun
545   	96          	OFDM调制解调
546   	96          	Serendipity
547   	96          	TyrusYip
548   	96          	YK712
549   	96          	crp233
550   	96          	ly3d
551   	96          	yy小泠
552   	96          	万俟北辰
553   	96          	不爱飞的雕
554   	96          	决战机器人
555   	96          	出道即巅峰
556   	96          	北条沙都子
557   	96          	北风萧霄2
558   	96          	只打CHAGA
559   	96          	和光同尘
560   	96          	咕咕咕1
561   	96          	困了喵
562   	96          	天唉唉
563   	96          	天野ヒトミ
564   	96          	帽帽
565   	96          	抹茶要楽奈
566   	96          	摇摇奶昔
567   	96          	林零柒
568   	96          	沐光重生
569   	96          	清梦挽歌
570   	96          	渼酒
571   	96          	火老弟
572   	96          	爱喝水的思
573   	96          	玄黄q
574   	96          	番茄不能炒蛋
575   	96          	美人就是美
576   	96          	老馋馋
577   	96          	软趴趴
578   	96          	雀蛏
579   	96          	音律
580   	104         	梁森
581   	104         	麻将预防痴呆
582   	108         	Zazaka
583   	110         	小小黑
584   	112         	DSCH
585   	112         	DankratosBR
586   	112         	Fred460
587   	112         	Jencese2号
588   	112         	N519
589   	112         	SansGotLazy
590   	112         	WR
591   	112         	icrua0alskjs
592   	112         	lxl0319
593   	112         	penguin
594   	112         	qwqaq
595   	112         	tmry
596   	112         	yoda
597   	112         	丰川祥子
598   	112         	二
599   	112         	五羟色胺
600   	112         	信噪比
601   	112         	土豆豆鸭
602   	112         	墨辰
603   	112         	大哥大的小弟
604   	112         	奈芙莲
605   	112         	彩色塑料星
606   	112         	御无双青猫
607   	112         	月曦
608   	112         	林中及时雨
609   	112         	王大星
610   	112         	祥子大叔
611   	112         	类星体
612   	112         	蓝十
613   	112         	诸光
614   	112         	调皮的猴子1
615   	112         	阿珊
616   	112         	青雀
617   	112         	青鳞
618   	112         	鸡神教信徒
619   	120         	三饼发牌姬
620   	120         	冥雪99
621   	125         	捌萬
622   	126         	我叫叶荣添
623   	128         	Archetto
624   	128         	Bryce
625   	128         	CuO
626   	128         	KaneSHEN
627   	128         	Kokutourio
628   	128         	Melody
629   	128         	NaOH
630   	128         	Nekkoya
631   	128         	StevenCai
632   	128         	SunnyWong
633   	128         	SunnyYip
634   	128         	TT55
635   	128         	cx遇恒
636   	128         	floatcloud
637   	128         	qsw2025
638   	128         	quzer
639   	128         	rainbow369
640   	128         	一1四五14
641   	128         	不会玩的萌新
642   	128         	光明之眼
643   	128         	冰印神座
644   	128         	冰蓝雨晨
645   	128         	吸烟酱
646   	128         	咕咕咕咕
647   	128         	哆啦a
648   	128         	喵喵大笨蛋
649   	128         	大王八
650   	128         	姬攻千歌音
651   	128         	宽心
652   	128         	山猫
653   	128         	川和桜子
654   	128         	抱米花哦
655   	128         	方方
656   	128         	昏睡猫投降喵
657   	128         	月出星河
658   	128         	油泵
659   	128         	渋勍
660   	128         	牌手
661   	128         	知不可乎
662   	128         	石井一马
663   	128         	立直大王
664   	128         	臣服
665   	128         	舛敖
666   	128         	走无常
667   	128         	超级七对怪
668   	128         	送分达人
669   	128         	逃课的安
670   	128         	铁铳王
671   	128         	陈佳豪
672   	128         	陈光耀cgy
673   	128         	麓下kk
674   	132         	氟磺酸镍
675   	136         	tempestkou
676   	140         	海风
677   	143         	萌新大脸橘
678   	144         	ChloeZ
679   	144         	HillLee97
680   	144         	JN
681   	144         	L香味
682   	144         	PlanB
683   	144         	River
684   	144         	ShooH
685   	144         	TedZhu
686   	144         	handsomeboy
687   	144         	kgrox
688   	144         	leenlover
689   	144         	roysongor
690   	144         	ubisoft
691   	144         	内鬼
692   	144         	啊我是谁
693   	144         	圣文神武
694   	144         	夏威夷吉他手
695   	144         	寳儿丶少爷
696   	144         	岚兰
697   	144         	幻尘
698   	144         	江大麻将AI
699   	144         	熵减
700   	144         	白夜撞鬼
701   	144         	神里绫人
702   	144         	空想少女
703   	144         	金瓜皮子
704   	153         	鸡肉拉伤
705   	160         	BestMaomi
706   	160         	Iconoclastic
707   	160         	JerryK
708   	160         	LapisYang
709   	160         	chen
710   	160         	hamburger
711   	160         	luoshen
712   	160         	myy
713   	160         	paidax
714   	160         	voncast
715   	160         	zumgze
716   	160         	七夜的许愿星
717   	160         	伏黑惠的玉犬
718   	160         	伯约2
719   	160         	依璐
720   	160         	凯旋之愿
721   	160         	初见亦别离
722   	160         	唔C迪C
723   	160         	抹茶味纯子
724   	160         	汐楚三月
725   	160         	沧九
726   	160         	浮生小朋友
727   	160         	细呷温酒6708
728   	160         	蒙题王
729   	160         	马戏团长
730   	168         	天地不照
731   	172         	自摸8001600
732   	176         	Kuma
733   	176         	QinNai
734   	176         	WMWMWMWMWMWM
735   	176         	不名
736   	176         	不知苦
737   	176         	丛雨ちゃん
738   	176         	乙二胺四乙酸
739   	176         	余光
740   	176         	初芝雪音
741   	176         	只胡小天凤
742   	176         	台风
743   	176         	启丶沉卑
744   	176         	咖啡
745   	176         	外部号
746   	176         	大仙人
747   	176         	张进步
748   	176         	打雀青年
749   	176         	枰
750   	176         	楠枫溪
751   	176         	理论力学
752   	176         	琉璃
753   	176         	羽墨
754   	176         	识时务者
755   	176         	赵秋雨
756   	176         	黑一色
757   	184         	狂吃狂日
758   	192         	ExplodedCT
759   	192         	HZ
760   	192         	Helen
761   	192         	Lemontruth
762   	192         	ZJLee
763   	192         	bdbw99
764   	192         	qzgg
765   	192         	ysrs
766   	192         	仓田真白
767   	192         	低级泰坦
768   	192         	僮九
769   	192         	加油各位
770   	192         	开一不心的
771   	192         	桂茹
772   	192         	桜坂逢里
773   	192         	甜蜜桃花
774   	192         	翎刻
775   	192         	葛天帝
776   	192         	虎鲸
777   	192         	逍遥星空
778   	192         	阿升
779   	192         	阿楠
780   	192         	阿良
781   	200         	Gompyn
782   	208         	Silence
783   	208         	duncan21
784   	208         	一瞥而过
785   	208         	在摸鱼中
786   	208         	天门
787   	208         	快乐人生
788   	208         	念起觉迟
789   	208         	明薪99
790   	208         	江海寄余生
791   	208         	爱の火车票
792   	208         	牛黑奶白
793   	208         	茗芮里
794   	217         	勘察加
795   	224         	AvaMax
796   	224         	Mo鱼
797   	224         	bonbujour
798   	224         	ftedh
799   	224         	rurukonod
800   	224         	yayoi
801   	224         	一色儿
802   	224         	伽罗妹妹
803   	224         	圓點儿
804   	224         	地底探险
805   	224         	威震逍遥津
806   	224         	彤轩
807   	224         	新手二段里仑
808   	224         	日出
809   	224         	熔岩
810   	224         	硅基生命
811   	224         	雷雨霆
812   	224         	青龙吟秋水
813   	232         	四方雀者
814   	236         	淡定哥
815   	239         	真随机
816   	239         	萌新小笨鸟
817   	240         	Sw279695293
818   	240         	hong
819   	240         	keke
820   	240         	littleWeber
821   	240         	pcx1078
822   	240         	pingan
823   	240         	sanse
824   	240         	sdmt
825   	240         	sfsniper
826   	240         	sm
827   	240         	云栖花间
828   	240         	山不言
829   	240         	永清
830   	240         	滚滚浪花
831   	240         	玖月玖
832   	240         	雨萌小小酱
833   	254         	YstarXing
834   	256         	Be4Sunrise
835   	256         	Jenceses
836   	256         	LogY
837   	256         	M16A1
838   	256         	PetrCech
839   	256         	Yusaki
840   	256         	bagua
841   	256         	kanna
842   	256         	佰番shooter
843   	256         	木辛子
844   	256         	樱花Judy
845   	256         	练习两年半
846   	256         	美竹兰
847   	256         	逻辑猫
848   	256         	雾雾子
849   	256         	风灵
850   	264         	spmagic
851   	264         	欧偷袭圣手
852   	269         	萌新99成
853   	271         	自摸七对
854   	272         	Masion
855   	272         	梅梅梅梅
856   	272         	滑稽是内鬼
857   	272         	花君子
858   	272         	蚀叁夭
859   	280         	时尚
860   	285         	灯波月华
861   	288         	Charlotte
862   	288         	HyZha
863   	288         	Jk酱
864   	288         	TristeQ
865   	288         	W凌焱
866   	288         	伊尔
867   	288         	小熊
868   	288         	总是学不会
869   	288         	显卡
870   	288         	格兰
871   	288         	王泥喜法介
872   	288         	老张
873   	288         	药渣
874   	288         	萌新大黄蜂
875   	304         	SSSFFF
876   	304         	cccccc
877   	304         	zyl
878   	304         	云出无心
879   	304         	南宁正氣雀馆
880   	304         	卢YYY
881   	304         	大祭酒
882   	304         	就想摸摸鱼
883   	304         	潇飒
884   	304         	病娇灰姑娘
885   	304         	莫莫柴
886   	304         	越
887   	304         	追影
888   	312         	MKimiSH
889   	313         	Buhlava
890   	316         	萌新大白獭
891   	320         	AlCu2764
892   	320         	homasWSC
893   	320         	何いみ
894   	320         	倒不推推不倒
895   	320         	小虫鼬
896   	320         	山浩然
897   	320         	微辣就行
898   	320         	林嘿嘿2号
899   	320         	海伯利安
900   	320         	猫猫今天吃啥
901   	332         	尾翼
902   	334         	涛
903   	336         	Hinson
904   	336         	trane
905   	336         	xxxhhww
906   	336         	三十
907   	336         	到底是谁
908   	336         	后来
909   	336         	振玉
910   	336         	玖柒、97
911   	336         	超级无敌粉毛
912   	344         	欧宸羽
913   	344         	菲洛菲洛菲
914   	351         	我是战神
915   	352         	Imple
916   	352         	WindHunter
917   	352         	gris
918   	352         	pzhyjz
919   	352         	不羁的峰
920   	352         	国标新手求教
921   	352         	快雪时晴
922   	352         	洛天依
923   	352         	轻轻的飘
924   	352         	麦麦
925   	358         	烦了就打男人
926   	364         	xYz
927   	364         	贰山山
928   	367         	萌新小精灵
929   	368         	vicky
930   	368         	专打Jencese
931   	368         	初冬666
932   	368         	加贝勒
933   	368         	南方孤影
934   	368         	国家二级废物
935   	368         	御剑飞行
936   	368         	灰色天空
937   	376         	麻哥
