======================================
Deal-in Rate (放铳率) = deal_in_count / total_rounds
Generated at: 2026-01-09 00:24:36
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
388   	20.69%      	发生什么事了       	232
389   	20.69%      	就想摸摸鱼          	1136
390   	20.67%      	wyy1990                  	208
391   	20.66%      	ChaosDon                 	944
392   	20.64%      	Felix                    	344
393   	20.63%      	萌新大脸橘          	703
394   	20.62%      	风语                   	160
395   	20.62%      	璀璨猎户座          	160
396   	20.62%      	Cast27                   	320
397   	20.56%      	北风萧霄2            	496
398   	20.56%      	海                      	788
399   	20.54%      	玖骍                   	112
400   	20.54%      	木木夕                	224
401   	20.54%      	御无双青猫          	112
402   	20.54%      	小白ali                	224
403   	20.54%      	YK712                    	224
404   	20.54%      	Schubert                 	784
405   	20.54%      	Qaitq                    	112
406   	20.52%      	trane                    	960
407   	20.51%      	七夜的许愿星       	1360
408   	20.50%      	随随便便             	400
409   	20.49%      	ShovelKnight             	288
410   	20.48%      	新手二段里仑       	1211
411   	20.47%      	小天天err             	2609
412   	20.45%      	夏野川                	176
413   	20.45%      	决绝玦                	88
414   	20.45%      	sanse                    	528
415   	20.43%      	国家二级废物       	832
416   	20.43%      	去去                   	416
417   	20.42%      	风灵                   	480
418   	20.42%      	甜蜜桃花             	240
419   	20.42%      	lalulu                   	240
420   	20.39%      	北北ai训练           	608
421   	20.39%      	AmaneCh                  	304
422   	20.39%      	王致和卤大鹅       	309
423   	20.37%      	pisces                   	1944
424   	20.37%      	BestMaomi                	324
425   	20.36%      	沧九                   	496
426   	20.36%      	chen                     	560
427   	20.31%      	金瓜皮子             	320
428   	20.31%      	追星逐风             	128
429   	20.31%      	西楚霸王某某       	64
430   	20.31%      	菠萝自闭了          	64
431   	20.31%      	我最逍遥             	64
432   	20.31%      	壹玖陆and417          	64
433   	20.31%      	千手白子             	64
434   	20.31%      	下等立直麻将       	256
435   	20.31%      	一蓑烟雨             	64
436   	20.31%      	qzgg                     	256
437   	20.31%      	guo707                   	64
438   	20.31%      	Jackie                   	128
439   	20.29%      	Reisen                   	345
440   	20.28%      	日月星辰帅哥       	725
441   	20.27%      	Chaojisamoye             	587
442   	20.27%      	梁森                   	296
443   	20.27%      	Hinson                   	1184
444   	20.27%      	启丶沉卑             	528
445   	20.26%      	二策                   	908
446   	20.21%      	Mon3tr                   	480
447   	20.19%      	因幡爱瑠             	208
448   	20.19%      	Sant                     	208
449   	20.18%      	长风                   	2596
450   	20.17%      	观自在                	1210
451   	20.14%      	雾雾子                	288
452   	20.13%      	YstarXing                	462
453   	20.13%      	北宸星落             	944
454   	20.12%      	Imok                     	512
455   	20.11%      	暗刻来了             	2064
456   	20.10%      	ferry                    	960
457   	20.09%      	sss                      	224
458   	20.09%      	citrus                   	224
459   	20.07%      	江海寄余生          	1136
460   	20.06%      	嘻嘻哈哈             	3120
461   	20.06%      	阿彰不凑番          	688
462   	20.00%      	鲤鱼号                	80
463   	20.00%      	风怒大汉堡          	80
464   	20.00%      	落青                   	160
465   	20.00%      	海子哥                	80
466   	20.00%      	格喵不是巫师       	160
467   	20.00%      	时尚                   	1160
468   	20.00%      	我是                   	160
469   	20.00%      	左彼篝思劝颊       	80
470   	20.00%      	小学生                	160
471   	20.00%      	大苏打                	80
472   	20.00%      	夜雨桥                	80
473   	20.00%      	叶三夕夕夕          	100
474   	20.00%      	南桥s01                	240
475   	20.00%      	初冬666                	400
476   	20.00%      	刘十六                	80
477   	20.00%      	佐佐木淳平          	80
478   	20.00%      	伯德                   	280
479   	20.00%      	reswa1                   	320
480   	20.00%      	rapid                    	80
