======================================
Win Rate (和牌率) = win_count / total_rounds
Generated at: 2026-01-09 02:19:49
Total players: 2080
======================================

Rank  	Rate        	Player Name              	Rounds
346   	27.08%      	supercp                  	48
347   	27.08%      	shiro                    	96
348   	27.08%      	ohmymy                   	96
349   	27.08%      	Satori5                  	96
350   	27.08%      	River                    	432
351   	27.08%      	Parousia                 	144
352   	27.08%      	MarioYio                 	48
353   	27.08%      	LZN                      	48
354   	27.08%      	IceCola                  	96
355   	27.08%      	HReimu                   	48
356   	27.08%      	CXZ                      	48
357   	27.05%      	农园蒸粥             	1242
358   	27.04%      	不知苦                	1154
359   	27.03%      	绚彩蓝                	4580
360   	27.02%      	ugly2333                 	3760
361   	27.02%      	襄下樊人             	4763
362   	27.01%      	花袭人                	944
363   	27.01%      	AlFex                    	137
364   	27.00%      	二d                     	848
365   	27.00%      	volknet                  	337
366   	27.00%      	浅葱狐冢             	400
367   	27.00%      	德之邻                	952
368   	26.99%      	SherWu                   	652
369   	26.99%      	alaya23                  	3968
370   	26.99%      	founded                  	352
371   	26.97%      	晴天                   	2896
372   	26.95%      	阿德南                	783
373   	26.95%      	门清一摸五          	5025
374   	26.94%      	Albus                    	720
375   	26.94%      	xxxhhww                  	1997
376   	26.94%      	柒柒                   	813
377   	26.93%      	laitedao                 	6119
378   	26.91%      	矢来美羽             	576
379   	26.88%      	超超可爱岁岁       	160
380   	26.88%      	璀璨猎户座          	160
381   	26.88%      	我来截个和          	160
382   	26.86%      	HillLee97                	1344
383   	26.84%      	超级七对怪          	272
384   	26.84%      	Sant                     	272
385   	26.82%      	酱油蛙                	3687
386   	26.82%      	handsomeboy              	809
387   	26.82%      	大祭酒                	768
388   	26.81%      	镜影                   	496
389   	26.81%      	八九边7               	1488
390   	26.81%      	bonbujour                	992
391   	26.81%      	麓下kk                 	1104
392   	26.81%      	初见亦别离          	720
393   	26.80%      	烦了就打男人       	1414
394   	26.80%      	不会玩的萌新       	724
395   	26.79%      	希岸子                	4102
396   	26.79%      	风林舞破             	112
397   	26.79%      	胜天一番             	112
398   	26.79%      	心中的太阳          	112
399   	26.79%      	zyl                      	336
400   	26.79%      	ly3d                     	224
401   	26.79%      	TyrusYip                 	448
402   	26.79%      	Higuchi                  	56
403   	26.75%      	念天地之悠悠       	3024
404   	26.75%      	僮九                   	800
405   	26.75%      	cidocron                 	2576
406   	26.74%      	西月                   	288
407   	26.74%      	老张                   	288
408   	26.73%      	林嘿嘿2号            	1201
409   	26.72%      	张麻子                	232
410   	26.72%      	Bob                      	4049
411   	26.70%      	渣不多德勒          	176
412   	26.69%      	Sablinbot                	592
413   	26.69%      	Be4Sunrise               	1008
414   	26.68%      	lxl0319                  	1979
415   	26.68%      	tmry                     	656
416   	26.68%      	Encyclopedia             	5327
417   	26.67%      	圣文神武             	986
418   	26.67%      	卡安雨                	15
419   	26.67%      	CHAGA06                  	1140
420   	26.66%      	吴下阿濛             	784
421   	26.65%      	新建文件夹          	1696
422   	26.64%      	CHAGA110                 	304
423   	26.64%      	江海寄余生          	1344
424   	26.61%      	追影                   	1548
425   	26.61%      	diaryw                   	1056
426   	26.61%      	病娇灰姑娘          	1541
427   	26.57%      	量子限域             	1720
428   	26.56%      	路边一条             	64
429   	26.56%      	超硬大七星          	192
430   	26.56%      	萧十三                	64
431   	26.56%      	萌新小白             	64
432   	26.56%      	臭象                   	128
433   	26.56%      	米夜                   	64
434   	26.56%      	盈峰环境小彭       	128
435   	26.56%      	植物人                	64
436   	26.56%      	木之本樱             	384
437   	26.56%      	婉兮                   	64
438   	26.56%      	丛雨                   	128
439   	26.56%      	otssmyha                 	128
440   	26.56%      	MrLiu                    	64
441   	26.56%      	Hongstone                	704
442   	26.56%      	geruome                  	3287
443   	26.55%      	理论力学             	1947
444   	26.54%      	Nekkoya                  	912
445   	26.53%      	只打八万             	4221
446   	26.53%      	落殇                   	848
447   	26.53%      	云出无心             	2812
448   	26.52%      	雄关迈步             	3013
449   	26.50%      	后门概念神          	1600
450   	26.50%      	saltydog                 	1200
451   	26.49%      	苏小弱                	555
452   	26.48%      	有限鲤鱼机          	6049
453   	26.48%      	WindHunter               	1488
454   	26.47%      	杜陵路                	272
455   	26.44%      	凛樱                   	208
456   	26.44%      	AIplayer                 	749
457   	26.43%      	地底探险             	560
458   	26.42%      	十八线玩家          	3607
459   	26.41%      	Krtecek                  	1401
460   	26.39%      	衔蝉幽客             	288
461   	26.39%      	呵呵哒                	144
462   	26.39%      	sss                      	720
463   	26.39%      	Frank                    	144
464   	26.36%      	鸟苷三磷酸          	4055
465   	26.36%      	banz                     	368
466   	26.35%      	练习两年半          	1624
467   	26.34%      	麻哥                   	2528
468   	26.34%      	Zazaka                   	3151
469   	26.34%      	风怒大汉堡          	224
470   	26.34%      	单机北北             	224
471   	26.31%      	东西喵                	2303
472   	26.30%      	翎刻                   	958
473   	26.30%      	昏睡猫                	2608
474   	26.29%      	打九万来九万       	1590
475   	26.28%      	Tibochapo                	1488
476   	26.25%      	落青                   	160
477   	26.25%      	洋Cc                    	80
478   	26.25%      	橙                      	80
479   	26.25%      	开一不心的          	320
480   	26.25%      	南法信法南          	320
481   	26.25%      	作业                   	400
482   	26.25%      	Yerin0626                	80
483   	26.25%      	Mercy                    	160
484   	26.25%      	James                    	240
485   	26.25%      	Cai                      	160
486   	26.25%      	CKLm                     	160
487   	26.23%      	蓝天skyhuner           	1056
488   	26.22%      	zumgze                   	576
489   	26.21%      	姬攻千歌音          	496
490   	26.19%      	投影机                	1008
491   	26.18%      	鸡神教信徒          	592
492   	26.18%      	三暗刻刻刻          	191
493   	26.17%      	辅辅                   	256
494   	26.17%      	白茉晴                	256
495   	26.17%      	令狐封                	256
496   	26.15%      	狗                      	608
497   	26.15%      	gbnewbie                 	608
498   	26.14%      	漆黑似夜             	2896
499   	26.14%      	羽墨                   	176
500   	26.14%      	sugawara                 	176
501   	26.12%      	北风萧霄             	6933
502   	26.12%      	萌新小精灵          	1991
503   	26.12%      	显卡                   	448
504   	26.11%      	微辣就行             	720
505   	26.10%      	SunnyYip                 	544
506   	26.10%      	神人                   	1203
507   	26.09%      	识时务者             	640
508   	26.09%      	多来雀庄             	2158
509   	26.09%      	苹果派                	368
510   	26.07%      	弗兰基                	1216
511   	26.06%      	尾翼                   	2571
512   	26.05%      	天使的秤             	4978
513   	26.04%      	黑泽咲                	96
514   	26.04%      	游侠小卢             	1824
515   	26.04%      	检查绝张             	96
516   	26.04%      	Magallan                 	288
517   	26.04%      	Dreamcast                	192
518   	26.04%      	冰雪分类             	2896
519   	26.02%      	Attersee                 	976
520   	26.02%      	在原七海             	196
521   	26.02%      	啊我是谁             	688
522   	26.01%      	火老弟                	2257
523   	25.99%      	小龙女                	6595
524   	25.99%      	糖糖0919               	304
525   	25.99%      	pakake                   	304
526   	25.99%      	萌新大白獭          	3475
527   	25.97%      	keke                     	928
528   	25.96%      	WR                       	2523
529   	25.95%      	AlCu2764                 	1056
530   	25.94%      	Buffon                   	4260
531   	25.94%      	Masion                   	640
532   	25.93%      	新手二段里仑       	1211
533   	25.93%      	天                      	432
534   	25.92%      	国麻萧寒             	10380
535   	25.92%      	林嘿嘿3号            	7173
536   	25.91%      	有路口                	1536
537   	25.91%      	灯波月华             	3883
538   	25.90%      	紫电改二             	1359
539   	25.90%      	嗯好可以行          	2749
540   	25.90%      	Jux                      	7476
541   	25.89%      	静巧                   	112
542   	25.89%      	河提                   	112
543   	25.89%      	千早爱音             	112
544   	25.89%      	Tolerate                 	112
545   	25.89%      	QryanQ                   	224
546   	25.89%      	Nova                     	112
547   	25.89%      	M16A1                    	672
548   	25.89%      	Irkalla                  	112
549   	25.89%      	Hotaru                   	112
550   	25.88%      	卢YYY                   	1399
551   	25.88%      	frankie21                	2485
552   	25.87%      	TT55                     	688
553   	25.85%      	檐下风铃             	352
554   	25.85%      	小白                   	352
555   	25.85%      	喵喵大笨蛋          	1296
556   	25.84%      	高抬贵手             	267
557   	25.84%      	小小小小秋          	89
558   	25.84%      	霹雳911                	3448
559   	25.83%      	亲亲要乐奈          	569
560   	25.83%      	xxx                      	240
561   	25.83%      	ExplodedCT               	240
562   	25.83%      	xiong                    	3109
563   	25.82%      	云栖花间             	1472
564   	25.78%      	老王                   	287
565   	25.78%      	幻雪                   	543
566   	25.78%      	北风萧霄2            	512
567   	25.78%      	Jackie                   	128
568   	25.78%      	DSCH                     	128
569   	25.78%      	Bourbon                  	128
570   	25.77%      	越                      	2992
571   	25.77%      	gris                     	912
572   	25.75%      	Jvruo                    	1860
573   	25.75%      	玖月玖                	400
574   	25.74%      	茅老道                	5326
575   	25.74%      	凌叶                   	338
576   	25.74%      	风的思绪             	544
577   	25.74%      	Mon3tr                   	544
578   	25.73%      	自摸七对             	1636
579   	25.72%      	夏威夷吉他手       	976
580   	25.69%      	虎鲸                   	432
581   	25.69%      	OGGG                     	144
582   	25.69%      	勘察加                	253
583   	25.69%      	晚终                   	109
584   	25.68%      	bluff                    	884
585   	25.67%      	蹦天使                	4886
